"zip","id","formattedAddress","addressLine1","addressLine2","city","state","zipCode","county","latitude","longitude","propertyType","listingType","bedrooms","bathrooms","squareFootage","lotSize","yearBuilt","hoa.fee","status","price","listedDate","removedDate","daysOnMarket"
"1","5984-Portside-Dr,-Hilliard,-OH-43026","5984 Portside Dr, Hilliard, OH 43026","5984 Portside Dr",NA,"Hilliard","OH","43026","Franklin",39.9873,-83.1641,"Single Family",NA,3,2.5,1564,NA,NA,NA,"Inactive",315000,"2022-01-11T10:57:09.162Z","2022-08-09T20:13:24.410Z",211
"1","2388-Mills-Fall-Dr,-Hilliard,-OH-43026","2388 Mills Fall Dr, Hilliard, OH 43026","2388 Mills Fall Dr",NA,"Hilliard","OH","43026","Franklin",39.9997,-83.1389,"Single Family",NA,3,2,1696,NA,NA,NA,"Inactive",269900,"2022-01-27T12:24:25.899Z","2022-08-09T20:13:24.410Z",195
"1","5137-Bressler-Dr,-Hilliard,-OH-43026","5137 Bressler Dr, Hilliard, OH 43026","5137 Bressler Dr",NA,"Hilliard","OH","43026","Franklin",40.0048,-83.1458,"Single Family",NA,4,2.5,2084,NA,NA,NA,"Inactive",335000,"2022-01-04T12:37:26.393Z","2022-08-09T20:11:59.346Z",218
"1","2712-Rustling-Oak-Blvd,-Hilliard,-OH-43026","2712 Rustling Oak Blvd, Hilliard, OH 43026","2712 Rustling Oak Blvd",NA,"Hilliard","OH","43026","Franklin",40.0069,-83.1589,"Single Family",NA,4,2.5,2048,NA,NA,NA,"Inactive",335000,"2022-01-05T12:02:42.135Z","2022-08-09T20:11:59.346Z",217
"1","4864-Vandorn-Ct,-Hilliard,-OH-43026","4864 Vandorn Ct, Hilliard, OH 43026","4864 Vandorn Ct",NA,"Hilliard","OH","43026","Franklin",40.0522,-83.1415,"Single Family",NA,4,3.5,2950,NA,NA,NA,"Inactive",489900,"2022-01-13T13:12:57.231Z","2022-08-09T20:10:32.715Z",209
"1","5803-Nike-Dr,-Hilliard,-OH-43026","5803 Nike Dr, Hilliard, OH 43026","5803 Nike Dr",NA,"Hilliard","OH","43026","Franklin",39.9982,-83.1598,"Single Family",NA,3,2.5,1486,NA,NA,NA,"Inactive",280000,"2022-01-20T11:45:43.040Z","2022-08-09T20:05:40.890Z",202
"1","5054-Drivemere-Rd,-Hilliard,-OH-43026","5054 Drivemere Rd, Hilliard, OH 43026","5054 Drivemere Rd",NA,"Hilliard","OH","43026","Franklin",40.0263,-83.1503,"Single Family",NA,3,1.5,1734,NA,NA,NA,"Inactive",239900,"2022-02-03T12:19:05.410Z","2022-08-09T20:05:40.890Z",188
"1","3776-Ridgewood-Dr,-Hilliard,-OH-43026","3776 Ridgewood Dr, Hilliard, OH 43026","3776 Ridgewood Dr",NA,"Hilliard","OH","43026","Franklin",40.0449,-83.1175,"Single Family",NA,3,3,3240,NA,NA,NA,"Inactive",374900,"2021-12-31T11:52:53.671Z","2022-08-09T20:04:17.623Z",222
"1","5625-Sandbrook-Ln,-Hilliard,-OH-43026","5625 Sandbrook Ln, Hilliard, OH 43026","5625 Sandbrook Ln",NA,"Hilliard","OH","43026","Franklin",40.0085,-83.1622,"Single Family",NA,4,2.5,2016,NA,NA,NA,"Inactive",340000,"2021-06-28T14:14:58.254Z","2022-08-09T20:04:17.623Z",408
"1","1836-Galleon-Blvd,-Hilliard,-OH-43026","1836 Galleon Blvd, Hilliard, OH 43026","1836 Galleon Blvd",NA,"Hilliard","OH","43026","Franklin",39.9881,-83.1639,"Single Family",NA,3,2.5,1552,NA,NA,NA,"Inactive",269900,"2022-01-05T11:51:44.200Z","2022-08-09T20:04:17.623Z",217
